*key;ru;en;fr
*guild_giver_board_master;
	Мастер гильдии;
	Guild Master;
	Maitre de guilde;
*guild_daily_task_01_title;
	Помошь плотнику;
	Carpenter's Help;
	Aide du charpentier;
*guild_daily_task_01_desc;
	Мне требуется помощь с некоторыми материалами для строительства. Принеси в гильдию 5 бревна;
	I need help with some materials for construction. Bring 5 branches to the guild;
	J'ai besoin d'aide avec des matériaux pour la construction. Apportez 5 branches à la guilde;
*guild_daily_task_02_title;
	Помошь повару;
	Cook's Help;
	Aide du cuisinier;
*guild_daily_task_02_desc;
	У меня закончились палки для костра. Принеси в гильдию 10 палок;
	I'm out of sticks for the fire. Bring 10 sticks to the guild;
	Je n'ai plus de bâtons pour le feu. Apportez 10 bâtons à la guilde;
*guild_daily_task_03_title;
	Сиротский приют;
	Orphanage;
	Orphelinat;
*guild_daily_task_03_desc;
	Нам нужны волокна для изготовления бинтов. Принеси в гильдию 15 волокон;
	We need fibers for making bandages. Bring 15 fibers to the guild;
	Nous avons besoin de fibres pour fabriquer des bandages. Apportez 15 fibres à la guilde;
*guild_daily_task_04_title;
	Странствующий торговец;
	Wandering Merchant;
	Commerçant itinérant;
*guild_daily_task_04_desc;
	Я не против купить у вас древесный клей. Принеси в гильдию 2 древесного клея;
	I'm willing to buy some wood glue from you. Bring 2 wood glues to the guild;
	Je suis prêt à acheter de la colle à bois chez vous. Apportez 2 colles à bois à la guilde;
*guild_daily_task_05_title;
	Требуется крысолов;
	Rat Catcher Needed;
	Chasseur de rats nécessaire;
*guild_daily_task_05_desc;
	В этот сезон урожай сильно пострадал от пшеинчных крыс. Истребите хотя бы 10 крыс;
	The crop has been heavily affected by wheat rats this season. Exterminate at least 10 rats;
	La récolte a été fortement affectée par les rats de blé cette saison. Exterminez au moins 10 rats;
*guild_daily_task_06_title;
	Красота требует жертв;
	Beauty Requires Sacrifice;
	La beauté exige des sacrifices;
*guild_daily_task_06_desc;
	В верхнем городе появился новый слух о том, что мембрана слизи омолаживает кожу. Принеси в гильдию 5 мембран слизи;
	The upper city has a new rumor that slime membrane rejuvenates the skin. Bring 5 slime membranes to the guild;
	La haute ville a une nouvelle rumeur selon laquelle la membrane de slime rajeunit la peau. Apportez 5 membranes de slime à la guilde;
*guild_daily_task_07_title;
	Чужаки;
	Strangers;
	Étrangers;
*guild_daily_task_07_desc;
	В трущобах появисись странные люди. Скорее всего это работорговцы. Поймайте 5 из них и доставьте в гильдию;
	Strange people have been appearing in the slums. They're likely slavers. Capture 5 of them and bring them to the guild;
	Des gens étranges sont apparus dans les bidonvilles. Ils sont probablement des esclavagistes. Capturez-en 5 et apportez-les à la guilde;
